1356,"I-40 & HORIZON, EXIT 79",Milan,NM,
1364,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,
1372,"I-77, EXIT 101 & SR-627",Canton,OH,
1376,"I-75, EXIT 118",Lima,OH,
1379,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,
1384,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,
1391,"I-35, EXIT 203 & SR-15",Billings,OK,
1395,"I-40, EXIT 66",Clinton,OK,
1404,"I-74, EXIT 4 & SR-63",Covington,IN,
1414,"I-70, EXIT 12/161",Breezewood,PA,
1424,US-15 & SR-394,Gettysburg,PA,
1428,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,
1432,"I-81, EXIT 57",Mechanicsburg,PA,
1444,"I-20, EXIT 92 & US-601",Lugoff,SC,
1445,"I-80, EXIT 367",Cheyenne,WY,
1447,US-221,Chesnee,SC,
1453,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,
1455,"I-95, EXIT 169",Florence,SC,
1461,"I-26, EXIT 15 & US-176",Inman,SC,
1464,"I-20, EXIT 55 & SR-6",Lexington,SC,
1470,US-1,Beech Island,SC,
1479,"I-85, EXIT 63 & SR-290",Duncan,SC,
1487,"I-81, EXIT 36 NORTH",Greeneville,TN,
1492,"I-24, EXIT 174",Chattanooga,TN,
1507,"I-55, EXIT 5A",Memphis,TN,
1516,I-27 EXIT 116,Amarillo,TX,
1531,"I-74, EXIT 112 & SR-9",Shelbyville,IN,
1533,US-62,Brownfield,TX,
1546,"I-35, EXIT 86 & SR-85",Dilley,TX,
1548,US-287,Dumas,TX,
1552,US-59 & SR-16,Freer,TX,
1555,"I-70, EXIT 405 & SR-59",Seibert,CO,
1560,US-20 & SR-5,Irving,NY,
1562,"I-40, EXIT 108",Wildersville,TN,
1567,"I-235, EXIT 11",Des Moines,IA,
1579,"I-15, EXIT 122 & I-90 MM220",Butte,MT,
1582,I-40 EXIT 60,Amarillo,TX,
1585,US-385 & CR-1910,Andrews,TX,
1590,"I-80 & I-94, EXIT 15-A",Lake Station,IN,
1596,"I-40, EXIT 39",Jamestown,NM,
1597,"I-70 & SR-519, EXIT 25/333",Eighty Four,PA,
1599,"I-81, EXIT 10",Mc Graw,NY,
1602,US-98,Beaumont,MS,
1606,"I-5, EXIT 202",Marysville,WA,
1610,"I-95, EXIT 57",Baltimore,MD,
1618,US-33,Ripley,WV,
1621,"I-65, EXIT 262B",Birmingham,AL,
1622,US-380 & SR-114/SR-101,Bridgeport,TX,
1623,"I-70 & I-270, EXIT 278",Commerce City,CO,
1625,"I-26, EXIT 159",Bowman,SC,
1632,"I-10, EXIT 139 & SR-292",Las Cruces,NM,
1633,"I-35, EXIT 144",Von Ormy,TX,
1634,"I-94, EXIT 322",Oak Creek,WI,
1644,"I-20, EXIT 235",Roscoe,TX,
1646,US-6  & US-31,Plymouth,IN,
1647,US-41 & SR-312,Hammond,IN,
1653,"I-55, EXIT 289",Chicago,IL,
1654,US-77/US190/SR-36,Cameron,TX,
1661,"I-20, EXIT 101 & SR-151",Calhoun,LA,
1669,"I-90, EXIT 28",Fultonville,NY,
1670,"I-44, EXIT 4 & SR-3",Joplin,MO,
1671,"I-95, EXIT 77",Dunn,NC,
1672,"I-40,  EXIT 77",Amarillo,TX,
1699,US-280/US-231/SR-53/SR-38 & CR-8/CR-34,Sylacauga,AL,
1700,US-259/SR-49,Daingerfield,TX,
1720,US-54 & S WESTERN AVE,Liberal,KS,
1749,US-96 & SR-62/FM-1004,Buna,TX,
1753,"I-35/US-77, EXIT 359 & CR-1304",Abbott,TX,
1773,"US-131, EXIT 120 & SR-46",Howard City,MI,
1791,"I-20, EXIT 126 & FM-1788",Midland,TX,
1807,I-40 EXIT 96 & SR-207,Panhandle,TX,
1810,US-83,Perryton,TX,
1829,"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL,
1832,US-49,Hattiesburg,MS,
1834,"I-20, EXIT 617 & US-59",Marshall,TX,
1849,US-67/US-277,San Angelo,TX,
1855,US-131,Byron Center,MI,
1858,"I-10, EXIT 583",San Antonio,TX,
1859,"I-79, EXIT 67 & US-19/SR-4",Sutton,WV,
1860,"I-75/71, EXIT 175 & SR-338",Walton,KY,
1861,"I-40, EXIT 66",Kingman,AZ,
1866,"I-94, EXIT 29",Benton Harbor,MI,
1873,"US-12 & US-31, EXIT 3",Niles,MI,
1874,US-175,Seagoville,TX,
1879,"I-35, EXIT 81 & SR-70",Lakeville,MN,
1888,US-87,Sterling City,TX,
1889,US-54 & US-287,Stratford,TX,
1893,"I-20, EXIT 509",Terrell,TX,
1894,"I-37 & SR-72, EXIT 69",Three Rivers,TX,
1897,"I-20/US-84, EXIT 278",Tye,TX,
1905,US-82,Whitesboro,TX,
1909,"I-15, EXIT 62",Cedar City,UT,
1914,"I-70, EXIT 160",Green River,UT,
1921,"I-80, EXIT 146",Park City,UT,
1923,"I-70, EXIT 54 & US-89",Salina,UT,
1930,"I-35, EXIT 19 & US-160 E",Wellington,KS,
1931,"I-15, EXIT 320",Woods Cross,UT,
1934,"I-77, EXIT 24",Austinville,VA,
1936,"I-81, EXIT 10 & US-11",Bristol,VA,
1940,"I-81, EXIT 98 & SR-100",Dublin,VA,
1944,"I-77, EXIT 1 & SR-620",Lambsburg,VA,
1950,"I-81, EXIT 205",King George,VA,
1951,"I-81, EXIT 205",Staunton,VA,
1953,"I-64, EXIT 136 & US-15",Gordonsville,VA,
1954,US-58 & CR-645,Suffolk,VA,
1956,"I-81, EXIT 291",Toms Brook,VA,
1958,"I-81 & I-77, EXIT 77",Wytheville,VA,
1960,"I-89, EXIT 7",Montpelier,VT,
1962,"I-64, EXIT 172 & SR-1/SR-7",Grayson,KY,
1976,"I-90, EXIT 276",Spokane,WA,
1977,"I-5, EXIT 57",Toledo,WA,
1983,"US-53, EXIT 110 & SR-40",Bloomer,WI,
1985,"I-90 & I-94, EXIT 55",Camp Douglas,WI,
2000,US-41,Marinette,WI,
2002,US-53/US-2,Superior,WI,
2009,"I-43, EXIT 120 & CR-V/CR-OK",Sheboygan,WI,
2020,"I-68, EXIT 23 & SR-26",Bruceton Mills,WV,
2021,"I-64, EXIT 15 & US-60",Huntington,WV,
2022,"I-79, EXIT 40 & SR-16",Ivydale,WV,
2029,"I-25, EXIT 188",Mills,WY,
2030,US-26/US-20,Casper,WY,
2034,"I-80, EXIT 377 & SR-217/CR-140",Cheyenne,WY,
2040,"I-25, EXIT 126 & US-18/20",Douglas,WY,
2041,"I-80, EXIT 401 & US-30",Pine Bluffs,WY,
2044,"I-80, EXIT 173",Wamsutter,WY,
2074,"I-10, EXIT 550",San Antonio,TX,
2076,US-283 BUS/US-277 BUS & SR-422,Seymour,TX,
2078,US-84 & CR-3300,Slaton,TX,
2084,"I-20, EXIT 73",Wickett,TX,
2087,SR-30,Logan,UT,
2088,"I-70, EXIT 40",Richfield,UT,
2089,"I-84, EXIT 7",Snowville,UT,
2115,SR-23/SR-33,Reedsburg,WI,
2125,"I-80, EXIT 311 & SR-130",Laramie,WY,
2144,US-15,Thurmont,MD,
2152,"I-90, EXIT 102",Fairmont,MN,
2167,"I-94, EXIT 171 (CR 75)",Saint Cloud,MN,
2182,"I-64 & I-81, EXIT 205",Raphine,VA,
2192,US-19/SR-129,Mount Nebo,WV,
2194,US-35 & CR-41,Jackson,OH,
2196,I-76 EXIT 43,Ravenna,OH,
2204,US-278 & SR-5,Lynn,AL,
2209,"I-40/US-65, EXIT 142 & SR-365",North Little Rock,AR,
2219,"I-85, EXIT 129",Braselton,GA,
2223,"I-16 SR-404, EXIT 116 & US-301/SR-73",Register,GA,
2227,SR-59,Naperville,IL,
2231,"I-270, EXIT 33",Saint Louis,MO,
2255,"I-280, EXIT 2 & SR-795",Millbury,OH,
2267,"I-65, EXIT 112 & SR-25",Cross Plains,TN,
2283,SR-60,Bartow,FL,
2287,"I-76/I-70, EXIT 146 & I-99/US-220 EXIT 1",Bedford,PA,
2306,"I-77, EXIT 73 & SR-901",Rock Hill,SC,
2310,"I-24, EXIT 175",Chattanooga,TN,
2311,"I-24 & EPPS MILL RD, EXIT 89",Christiana,TN,
2331,SR-135,Portsmouth,VA,
